age,sex,f_name,last name,commune,insee code,city type,department,reg,catégorie,revenue,cible
42,Female,WANDA,FAHD,Marseille 5e  Arrondissement,13205,Préfecture de région,13,93,5,1260,failure
28,Female,MAURICETTE,LE BIHAN,Champeaux,50117,Commune simple,50,28,5,1320,success
28,Male,MARTIAL,DE ALMEIDA,Lancié,69108,Commune simple,69,84,10,NA,failure
55,Male,PHILIPPE,QUILLERE,Beaune,21054,Sous-préfecture,21,27,11,NA,success
39,Male,CLÉMENT,STANGL,Marsillargues,34151,Commune simple,34,76,7,2460,failure
76,Female,EVELYNE,CAVALERI,La Coucourde,26106,Commune simple,26,84,13,NA,failure
50,Male,FABRICE,TISSERY,Strasbourg,67482,Préfecture de région,67,44,3,4500,success
32,Male,FRÉDÉRIC,SERRET,Berstett,67034,Commune simple,67,44,5,1230,failure
29,Female,PAULINE,NISAS,Paris 6e  Arrondissement,75106,Capitale d'état,75,11,12,NA,success
59,Female,RÉGINE,POTEAU,Bubry,56026,Commune simple,56,53,5,1440,success
85,Female,FRANCE,ROUSSEL,La Ville-du-Bois,91665,Commune simple,91,11,13,NA,failure
58,Male,DENIS,BENMOUSSA,Rousies,59514,Commune simple,59,32,11,NA,success
67,Female,JOSETTE,GARDEZ,Sucy-en-Brie,94071,Chef-lieu canton,94,11,13,NA,success
54,Male,FRANCK,BULLIOT,Saint-Martin-aux-Champs,51502,Commune simple,51,44,6,1130,success
16,Female,SARAH,LEPERLIER,Tourcoing,59599,Chef-lieu canton,59,32,10,NA,failure
63,Female,MARIE-CHRISTINE,BELLOCQ,Clichy-sous-Bois,93014,Commune simple,93,11,3,2030,success
75,Female,EDITH,PERISSE,Saint-Herblain,44162,Chef-lieu canton,44,52,13,NA,failure
73,Male,JEAN,CIOFFI,Évry,91228,Préfecture,91,11,13,NA,success
90,Female,ODETTE,CLERE,Bouvigny-Boyeffles,62170,Commune simple,62,32,13,NA,failure
33,Female,CLARA,MALVEAU,Biache-Saint-Vaast,62128,Commune simple,62,32,2,1880,success
43,Female,STÉPHANIE,RENAUD,Saint-Ouen,93070,Chef-lieu canton,93,11,4,1670,success
54,Female,CORINNE,FANJAS,Denain,59172,Chef-lieu canton,59,32,6,1630,success
75,Male,GUY,ROPERT,Lyon 6e  Arrondissement,69386,Préfecture de région,69,84,13,NA,failure
40,Female,BÉATRICE,ODONNAT,Castillon-du-Gard,30073,Commune simple,30,76,4,1550,success
49,Female,SANDRINE,FONTANEL,Saint-Herblain,44162,Chef-lieu canton,44,52,12,NA,success
33,Female,MARINA,BARJA,Houdemont,54265,Commune simple,54,44,1,1690,success
48,Female,LUCILE,RIOULT,Pont-l'Évêque,14514,Chef-lieu canton,14,28,6,1430,success
18,Male,ROMARIC,RETHORET,Orléans,45234,Préfecture de région,45,24,11,NA,success
83,Male,GUY,AUBRY,Vincennes,94080,Chef-lieu canton,94,11,13,NA,failure
71,Female,CHRISTIANE,JANIN,Perpignan,66136,Préfecture,66,76,13,NA,failure
90,Male,JEAN-BAPTISTE,TURC,Livron-sur-Drôme,26165,Commune simple,26,84,13,NA,failure
55,Female,MARIE,BETAILLE,Sainte-Flaive-des-Loups,85211,Commune simple,85,52,9,1830,success
46,Male,PASCAL,OSTOLOGUE,Saint-Chamond,42207,Chef-lieu canton,42,84,7,1760,success
65,Female,MARTINE,JEAN,Argenteuil,95018,Sous-préfecture,95,11,12,NA,success
17,Male,RAPHAËL,ROUILLERE,Tinchebray-Bocage,61486,Chef-lieu canton,61,28,10,NA,failure
69,Male,HENRI,RICHARD,Sequedin,59566,Commune simple,59,32,13,NA,failure
59,Female,CAROLE,DOMAS,Cordemais,44045,Commune simple,44,52,3,3170,success
62,Male,DIDIER,WALLON,Gagny,93032,Chef-lieu canton,93,11,13,NA,success
30,Male,JOHAN,YILMAZ,Rilly-Sainte-Syre,10320,Commune simple,10,44,1,720,failure
53,Male,PATRICK,GRESS,Hesdin-l'Abbé,62448,Commune simple,62,32,8,1390,success
